"record_id"	"batch_id"	"path"	"sha256"	"bytes"	"inventory_snapshot_git_status"	"effective_snapshot_git_status"	"inventory_material_role"	"document_class"	"source_type"	"current_applicability"	"history_or_derivation"	"approval_named_authorizer"	"approval_date"	"approval_scope"	"approval_version_binding"	"document_approval_state"	"atomic_requirement_extraction_route"	"evidence_or_conflict_pointers"	"investigation_pointer"
"R06-11"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-052-light-curtain-all-stages-pass.md"	"69f0834a93fcc8c04fb08ab00ee3abe3b154c6afc4c85b410270ea9e756edec6"	"792"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；三阶段成功候选; no test execution evidence"	"FR-018 AC-2 / UC-016"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；三阶段成功候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:72"
"R06-12"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-053-light-curtain-occlusion-not-detected.md"	"71cf4fcc3a0b27c7ff8c3bf971bf3db5a0d375e1bfb7e3e9d79cbf1973269518"	"820"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；遮挡未检出候选; no test execution evidence"	"FR-018 AC-3 / UC-016"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；遮挡未检出候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:73"
"R06-13"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-054-light-curtain-clear-not-restored.md"	"a159b1fc496dc46c8e4b05277754af9d418493184f84dba53166c807709eb3c4"	"844"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；移除后未恢复候选; no test execution evidence"	"FR-018 AC-4 / UC-016"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；移除后未恢复候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:74"
"R06-14"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-055-door-state-both-directions-pass.md"	"9b184369ac8c8615e7f00e62df3cc2a43459db7dfccc25b517ec4189ce0312b6"	"892"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；锁反馈完整成功；与 TC-048 重叠审查; no test execution evidence"	"FR-019 AC-1 / UC-017"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；锁反馈完整成功；与 TC-048 重叠审查; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:75"
"R06-15"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-056-door-opened-signal-still-closed.md"	"7ffc39543ab7d1ea1e3c5e58d9e8b1df66b3f118e95ff9d20e306e792a65e4c5"	"822"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；未弹门/锁 DI 未变；与 TC-050 重叠审查; no test execution evidence"	"FR-019 AC-2 / UC-017"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；未弹门/锁 DI 未变；与 TC-050 重叠审查; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:76"
"R06-16"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-057-door-closed-signal-still-opened.md"	"6e662d5570a96dfb7ac03170cf7b79126914a9252a2d5f8c749d954bd8c80d7d"	"724"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；关门后未锁闭候选; no test execution evidence"	"FR-019 AC-3 / UC-017"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；关门后未锁闭候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:77"
"R06-17"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-058-mapping-both-directions-pass.md"	"88ab1d5ce3b391f44da5edeb1607e0d9c0d77cbc70d394d39c4004df47732bac"	"876"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；双向映射成功候选; no test execution evidence"	"FR-020 AC-1 / UC-018"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；双向映射成功候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:78"
"R06-18"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-059-mapping-direction-one-mismatch.md"	"95a091e4b4439e536e176e3bc0a04aeb311647c7b95793b7cbb13d31b387f25e"	"788"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；DO→物理仓不符候选; no test execution evidence"	"FR-020 AC-2 / UC-018"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；DO→物理仓不符候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:79"
"R06-19"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-060-mapping-direction-two-mismatch.md"	"3cdc0adb555791a8d4b28e554be900beaf00b001e832c6b90e5df4651b4101e9"	"769"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；物理仓→DI 不符候选; no test execution evidence"	"FR-020 AC-3 / UC-018"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；物理仓→DI 不符候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:80"
"R06-20"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-061-mapping-save-pass-pending-verification.md"	"0edea73b9b08d8ee0197ae6f3f8d99ac1f0c32590c5b9d964a15e776703a15a3"	"788"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；保存为待核对候选; no test execution evidence"	"FR-021 AC-1 / UC-039"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；保存为待核对候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:81"
"R06-21"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-062-mapping-channel-conflict-reject.md"	"a38be5e5384b8fd0bea1172df4de571f658d4019bf4e0dd041f10f14160bd89e"	"727"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；通道冲突拒绝候选; no test execution evidence"	"FR-021 AC-2 / UC-039"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；通道冲突拒绝候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:82"
"R06-22"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-063-mapping-required-point-missing-reject.md"	"2878a731d09abb95a9ff6a90e8ad6af0aa9520be0913ffe4cb251ff8e06a0da2"	"638"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；必填点位缺失候选; no test execution evidence"	"FR-021 AC-3 / UC-039"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；必填点位缺失候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:83"
"R06-23"	"R06"	"requirement-documents/05-test-cases/03-agv-fleet-management/tc-064-draft-validation-pass-and-publishable.md"	"21f0ffae2eb8fc9270c7141f9c38a9b12510394d16d2b2791ec5d793d788506a"	"945"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；模型草稿完整可发布候选; no test execution evidence"	"FR-022 AC-1 / UC-038"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；模型草稿完整可发布候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:89"
"R06-24"	"R06"	"requirement-documents/05-test-cases/03-agv-fleet-management/tc-065-draft-duplicate-face-or-slot-id-reject.md"	"10ca1554ce4ae36707abb1e41ee77d0deb2762c55d0c2bf2a98045afdbaaf8eb"	"644"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；重复 ID 拒绝候选; no test execution evidence"	"FR-022 AC-2 / UC-038"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；重复 ID 拒绝候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:90"
"R06-25"	"R06"	"requirement-documents/05-test-cases/03-agv-fleet-management/tc-066-draft-out-of-bounds-reject.md"	"365075780ba09f1cb79d04897200a5bfea97cf5f618f74f98139950a61573669"	"748"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；越界拒绝候选; no test execution evidence"	"FR-022 AC-3 / UC-038"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；越界拒绝候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:91"
"R06-26"	"R06"	"requirement-documents/05-test-cases/03-agv-fleet-management/tc-067-draft-overlap-reject.md"	"10ce26b97714ec2b0bb96390f7c2eb80cb9f5b59e02bd23baf901e6eb2b87577"	"683"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；重叠拒绝候选; no test execution evidence"	"FR-022 AC-4 / UC-038"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；重叠拒绝候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:92"
"R06-27"	"R06"	"requirement-documents/05-test-cases/03-agv-fleet-management/tc-068-draft-incomplete-spec-save-not-publishable.md"	"0b5cebcb12520e8d84a28bff55460ce8422384bf1874c27f50dab4082f2092f8"	"847"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；不完整草稿暂存候选; no test execution evidence"	"FR-022 AC-5 / UC-038"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；不完整草稿暂存候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:93"
"R06-28"	"R06"	"requirement-documents/05-test-cases/03-agv-fleet-management/tc-069-publish-success-immutable-version.md"	"b2f942b4a4a1fb087aad038f34d53ca29b68c5ba65216a552df2493ca3c21cd2"	"953"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；二次认证发布候选; no test execution evidence"	"FR-023 AC-1 / UC-038"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；二次认证发布候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:94"
"R06-29"	"R06"	"requirement-documents/05-test-cases/03-agv-fleet-management/tc-070-publish-incomplete-spec-reject.md"	"b67edd4735ef956fe0a8c3fc41d1ca594c70e1cd2c521e26ca18a9fb6afd5cd9"	"724"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；规格不完整拒绝候选; no test execution evidence"	"FR-023 AC-2 / UC-038"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；规格不完整拒绝候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:95"
"R06-30"	"R06"	"requirement-documents/05-test-cases/03-agv-fleet-management/tc-071-publish-dual-auth-fail-reject.md"	"3ba3b08a0e527b02988de62d08db5b91725173c18441814775aef2357f5ad94e"	"686"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；二次认证失败候选; no test execution evidence"	"FR-023 AC-3 / UC-038"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；二次认证失败候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:96"
"R06-31"	"R06"	"requirement-documents/05-test-cases/03-agv-fleet-management/tc-072-publish-transaction-fail-rollback.md"	"7115a1e3da25f22e9ecd44295a33183f730346c32cf728d5f2abe40c9bb7eba2"	"695"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；发布回滚候选; no test execution evidence"	"FR-023 AC-4 / UC-038"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；发布回滚候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:97"
"R06-32"	"R06"	"requirement-documents/05-test-cases/03-agv-fleet-management/tc-073-retire-success-historical-refs-unaffected.md"	"ae658cee476c19cd2e7104cee6d00674356d6b3781763cb38aa04c24030423ab"	"907"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；停用且保留历史候选; no test execution evidence"	"FR-024 AC-1 / UC-038"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；停用且保留历史候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:98"
"R06-33"	"R06"	"requirement-documents/05-test-cases/03-agv-fleet-management/tc-074-retire-dual-auth-fail-reject.md"	"b86deaebf7190be1502170dc91af71f6759da4c921a996db2619b2ab750b9d90"	"693"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；停用认证失败候选; no test execution evidence"	"FR-024 AC-2 / UC-038"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；停用认证失败候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:99"
"R06-34"	"R06"	"requirement-documents/05-test-cases/03-agv-fleet-management/tc-075-retire-transaction-fail-rollback.md"	"4709365d3fc0fa043019e87f0700fe80b5739de670cf9e6b4876452ba09b2cd5"	"641"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；停用回滚候选; no test execution evidence"	"FR-024 AC-3 / UC-038"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；停用回滚候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:100"
"R06-35"	"R06"	"requirement-documents/05-test-cases/03-agv-fleet-management/tc-076-registration-validation-pass.md"	"746b738028fb574ffcadcf0f9ba758cb39d6ac9859959c26080d32a6745f3f0f"	"966"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；接入校验成功候选; no test execution evidence"	"FR-025 AC-1 / UC-019"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；接入校验成功候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:101"
"R06-36"	"R06"	"requirement-documents/05-test-cases/03-agv-fleet-management/tc-077-registration-model-version-not-published-reject.md"	"da811366d1adbade2e1f33d12ce84d8107589cbe4128b5ca5e0216e7b66dddf3"	"775"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；非 Published 拒绝候选; no test execution evidence"	"FR-025 AC-2 / UC-019"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；非 Published 拒绝候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:102"
"R06-37"	"R06"	"requirement-documents/05-test-cases/03-agv-fleet-management/tc-078-registration-duplicate-vehicle-id-reject.md"	"e5e79cf7b8318736d4176f5ea4d0500fce4e90a04ff5246e20ce7af9ab6fc8ec"	"668"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；车辆 ID 重复候选; no test execution evidence"	"FR-025 AC-3 / UC-019"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；车辆 ID 重复候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:103"
